alpha,clicks_per_impression,ctr_per_slot,revenue,ecpm,mean_ndcg
0.2,0.82604,0.20651,107387.77045523841,2147.755409104768,0.8675683941586514
0.4,0.99304,0.24826,118081.70062286656,2361.634012457331,0.8950628115280114
0.6000000000000001,1.12468,0.28117,123958.17564133026,2479.1635128266053,0.9141949163831683
0.8,1.22362,0.305905,126236.67912814791,2524.7335825629584,0.9281554588712783
1.0,1.30202,0.325505,126897.33708719672,2537.9467417439346,0.9387225881857201
1.2,1.36102,0.340255,126668.61378775442,2533.3722757550886,0.94694271386177
1.4000000000000001,1.4084,0.3521,125518.83511040497,2510.3767022080992,0.9534993455244984
1.6,1.44312,0.36078,124177.5214920615,2483.5504298412297,0.9588105641964132
1.8,1.4729,0.368225,122808.71851247114,2456.174370249423,0.9631410763810057
2.0,1.4974,0.37435,121270.40874448528,2425.4081748897056,0.9668812431352641
